tc_name,index,type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,exp_original_amount_cents,exp_balance_cents,exp_principal_cents,exp_interest_balance_cents,exp_deferred_interest_balance_cents,exp_am_deferred_interest_balance_cents,exp_am_interest_balance_cents,exp_total_interest_paid_to_date_cents,exp_description,merchant_name,mcc_code,ext_key,ext_value,exp_status
PP1505-Get information on a annual fee waiver line item for a specific revolving account,136,validation,2020-11-08T11:15:03-05:00,,2020-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1505-Get information on a annual fee waiver line item for a specific revolving account,137,getlineitem,2021-01-08T11:15:03-05:00,2020-12-31T,,,YEAR_FEE,,,,,,,,,,,,,,
PP1505-Get information on a annual fee waiver line item for a specific revolving account,138,validation,,,2020-12-31T,,YEAR_FEE,50000,50000,0,0,0,0,0,0,year_fee_cents,,,,,VALID
PP1505-Get information on a annual fee waiver line item for a specific revolving account,139,feereversal,,,,,,,,,,,,,,,,,,,
PP1505-Get information on a annual fee waiver line item for a specific revolving account,139,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP1505-Get information on a annual fee waiver line item for a specific revolving account,140,validation,,,,,FEE_REVERSAL,-50000,0,0,0,0,0,0,0,upd payment principal_cents: -50000 + 50000,,,,,VALID
PP2140-Get information on a annual fee waiver line item for a specific installment account,141,getlineitem,,2020-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2140-Get information on a annual fee waiver line item for a specific installment account,142,validation,2020-11-09T11:15:03-05:00,,2020-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2140-Get information on a annual fee waiver line item for a specific installment account,145,getlineitem,2021-01-08T11:15:03-05:00,2020-12-31T,,,YEAR_FEE,,,,,,,,,,,,,,
PP2140-Get information on a annual fee waiver line item for a specific installment account,146,validation,,,2020-12-31T,,YEAR_FEE,50000,50000,0,0,0,0,0,0,year_fee_cents,,,,,VALID
PP2140-Get information on a annual fee waiver line item for a specific installment account,147,feereversal,,,,,,,,,,,,,,,,,,,
PP2140-Get information on a annual fee waiver line item for a specific installment account,148,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2140-Get information on a annual fee waiver line item for a specific installment account,149,validation,,,,,FEE_REVERSAL,-50000,0,0,0,0,0,0,0,upd payment principal_cents: -50000 + 50000,,,,,VALID
PP2140-Get information on a annual fee waiver line item for a specific installment account,143,getlineitem,,2020-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2140-Get information on a annual fee waiver line item for a specific installment account,144,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2141-Get information on a annual fee waiver line item for a specific charge account,150,getlineitem,,2020-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2141-Get information on a annual fee waiver line item for a specific charge account,151,validation,2020-11-08T11:15:03-05:00,,2020-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2141-Get information on a annual fee waiver line item for a specific charge account,152,getlineitem,2021-01-08T11:15:03-05:00,2020-12-31T,,,YEAR_FEE,,,,,,,,,,,,,,
PP2141-Get information on a annual fee waiver line item for a specific charge account,153,validation,,,2020-12-31T,,YEAR_FEE,50000,50000,0,0,0,0,0,0,year_fee_cents,,,,,VALID
PP2141-Get information on a annual fee waiver line item for a specific charge account,154,feereversal,,,,,,,,,,,,,,,,,,,
PP2141-Get information on a annual fee waiver line item for a specific charge account,155,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2141-Get information on a annual fee waiver line item for a specific charge account,156,validation,,,,,FEE_REVERSAL,-50000,0,0,0,0,0,0,0,upd payment principal_cents: -50000 + 50000,,,,,VALID
PP2142-Get information on a annual fee waiver line item for a specific credit account,157,getlineitem,,2020-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2142-Get information on a annual fee waiver line item for a specific credit account,158,validation,2020-11-08T11:15:03-05:00,,2020-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2142-Get information on a annual fee waiver line item for a specific credit account,159,getlineitem,2021-01-08T11:15:03-05:00,2020-12-31T,,,YEAR_FEE,,,,,,,,,,,,,,
PP2142-Get information on a annual fee waiver line item for a specific credit account,160,validation,,,2020-12-31T,,YEAR_FEE,50000,50000,0,0,0,0,0,0,year_fee_cents,,,,,VALID
PP2142-Get information on a annual fee waiver line item for a specific credit account,161,feereversal,,,,,,,,,,,,,,,,,,,
PP2142-Get information on a annual fee waiver line item for a specific credit account,162,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2142-Get information on a annual fee waiver line item for a specific credit account,163,validation,,,,,FEE_REVERSAL,-50000,0,0,0,0,0,0,0,upd payment principal_cents: -50000 + 50000,,,,,VALID
PP1506-Get information on a monthly fee line item for a specific revolving account,135,getlineitem,,2021-10-07T,,,CHARGE,,,,,,,,,,,,,,
PP1506-Get information on a monthly fee line item for a specific revolving account,136,validation,2021-10-08T11:15:03-05:00,,2021-10-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1506-Get information on a monthly fee line item for a specific revolving account,137,getlineitem,2021-11-08T11:15:03-05:00,2021-10-31T,,,MONTH_FEE,,,,,,,,,,,,,,
PP1506-Get information on a monthly fee line item for a specific revolving account,138,validation,,,2021-10-31T,,MONTH_FEE,3000,3000,0,0,0,0,0,0,monthly_fee_cents,,,,,VALID
PP2143-Get information on a monthly fee line item for a specific installment account,141,getlineitem,,2021-10-07T,,,CHARGE,,,,,,,,,,,,,,
PP2143-Get information on a monthly fee line item for a specific installment account,142,validation,2021-10-08T11:15:03-05:00,,2021-10-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2143-Get information on a monthly fee line item for a specific installment account,145,getlineitem,2021-11-08T11:15:03-05:00,2021-10-31T,,,MONTH_FEE,,,,,,,,,,,,,,
PP2143-Get information on a monthly fee line item for a specific installment account,146,validation,,,2021-10-31T,,MONTH_FEE,3000,3000,0,0,0,0,0,0,monthly_fee_cents,,,,,VALID
PP2143-Get information on a monthly fee line item for a specific installment account,143,getlineitem,30,2021-10-07T,,,LOAN,,,,,,,,,,,,,,
PP2143-Get information on a monthly fee line item for a specific installment account,144,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2144-Get information on a monthly fee line item for a specific charge account,150,getlineitem,,2021-10-07T,,,CHARGE,,,,,,,,,,,,,,
PP2144-Get information on a monthly fee line item for a specific charge account,151,validation,2021-11-08T11:15:03-05:00,,2021-10-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2144-Get information on a monthly fee line item for a specific charge account,152,getlineitem,2021-11-08T11:15:03-05:00,2021-10-31T,,,MONTH_FEE,,,,,,,,,,,,,,
PP2144-Get information on a monthly fee line item for a specific charge account,153,validation,,,2021-10-31T,,MONTH_FEE,3000,3000,0,0,0,0,0,0,monthly_fee_cents,,,,,VALID
PP2145-Get information on a monthly fee line item for a specific credit account,157,getlineitem,,2021-10-07T,,,CHARGE,,,,,,,,,,,,,,
PP2145-Get information on a monthly fee line item for a specific credit account,158,validation,2021-11-08T11:15:03-05:00,,2021-10-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2145-Get information on a monthly fee line item for a specific credit account,159,getlineitem,2021-11-08T11:15:03-05:00,2021-10-31T,,,MONTH_FEE,,,,,,,,,,,,,,
PP2145-Get information on a monthly fee line item for a specific credit account,160,validation,,,2021-10-31T,,MONTH_FEE,3000,3000,0,0,0,0,0,0,monthly_fee_cents,,,,,VALID
PP1507-Get information on a monthly fee reversal line item for a specific revolving account,161,getlineitem,,2021-10-07T,,,CHARGE,,,,,,,,,,,,,,
PP1507-Get information on a monthly fee reversal line item for a specific revolving account,162,validation,2021-10-08T11:15:03-05:00,,2021-10-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1507-Get information on a monthly fee reversal line item for a specific revolving account,163,getlineitem,2021-11-08T11:15:03-05:00,2021-10-31T,,,MONTH_FEE,,,,,,,,,,,,,,
PP1507-Get information on a monthly fee reversal line item for a specific revolving account,164,validation,,,2021-10-31T,,MONTH_FEE,3000,3000,0,0,0,0,0,0,monthly_fee_cents,,,,,VALID
PP1507-Get information on a monthly fee reversal line item for a specific revolving account,165,feereversal,,,,,,,,,,,,,,,,,,,
PP1507-Get information on a monthly fee reversal line item for a specific revolving account,166,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP1507-Get information on a monthly fee reversal line item for a specific revolving account,167,validation,,,,,FEE_REVERSAL,-3000,0,0,0,0,0,0,0,upd payment principal_cents: -3000 + 3000,,,,,VALID
PP2146-Get information on a monthly fee reversal line item for a specific installment account,168,getlineitem,,2021-10-07T,,,CHARGE,,,,,,,,,,,,,,
PP2146-Get information on a monthly fee reversal line item for a specific installment account,169,validation,2021-10-08T11:15:03-05:00,,2021-10-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2146-Get information on a monthly fee reversal line item for a specific installment account,172,getlineitem,2021-11-08T11:15:03-05:00,2021-10-31T,,,MONTH_FEE,,,,,,,,,,,,,,
PP2146-Get information on a monthly fee reversal line item for a specific installment account,173,validation,,,2021-10-31T,,MONTH_FEE,3000,3000,0,0,0,0,0,0,monthly_fee_cents,,,,,VALID
PP2146-Get information on a monthly fee reversal line item for a specific installment account,174,feereversal,,,,,,,,,,,,,,,,,,,
PP2146-Get information on a monthly fee reversal line item for a specific installment account,175,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2146-Get information on a monthly fee reversal line item for a specific installment account,176,validation,,,,,FEE_REVERSAL,-3000,0,0,0,0,0,0,0,upd payment principal_cents: -3000 + 3000,,,,,VALID
PP2146-Get information on a monthly fee reversal line item for a specific installment account,170,getlineitem,,2021-10-07T,,,LOAN,,,,,,,,,,,,,,
PP2146-Get information on a monthly fee reversal line item for a specific installment account,171,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2147-Get information on a monthly fee reversal line item for a specific charge account,177,getlineitem,,2021-10-07T,,,CHARGE,,,,,,,,,,,,,,
PP2147-Get information on a monthly fee reversal line item for a specific charge account,178,validation,2021-10-08T11:15:03-05:00,,2021-10-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2147-Get information on a monthly fee reversal line item for a specific charge account,179,getlineitem,2021-11-08T11:15:03-05:00,2021-10-31T,,,MONTH_FEE,,,,,,,,,,,,,,
PP2147-Get information on a monthly fee reversal line item for a specific charge account,180,validation,,,2021-10-31T,,MONTH_FEE,3000,3000,0,0,0,0,0,0,monthly_fee_cents,,,,,VALID
PP2147-Get information on a monthly fee reversal line item for a specific charge account,181,feereversal,,,,,,,,,,,,,,,,,,,
PP2147-Get information on a monthly fee reversal line item for a specific charge account,182,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2147-Get information on a monthly fee reversal line item for a specific charge account,183,validation,,,,,FEE_REVERSAL,-3000,0,0,0,0,0,0,0,upd payment principal_cents: -3000 + 3000,,,,,VALID
PP2148-Get information on a monthly fee reversal line item for a specific credit account,184,getlineitem,,2021-10-07T,,,CHARGE,,,,,,,,,,,,,,
PP2148-Get information on a monthly fee reversal line item for a specific credit account,185,validation,2021-10-08T11:15:03-05:00,,2021-10-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2148-Get information on a monthly fee reversal line item for a specific credit account,186,getlineitem,2021-11-08T11:15:03-05:00,2021-10-31T,,,MONTH_FEE,,,,,,,,,,,,,,
PP2148-Get information on a monthly fee reversal line item for a specific credit account,187,validation,,,2021-10-31T,,MONTH_FEE,3000,3000,0,0,0,0,0,0,monthly_fee_cents,,,,,VALID
PP2148-Get information on a monthly fee reversal line item for a specific credit account,188,feereversal,,,,,,,,,,,,,,,,,,,
PP2148-Get information on a monthly fee reversal line item for a specific credit account,189,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2148-Get information on a monthly fee reversal line item for a specific credit account,190,validation,,,,,FEE_REVERSAL,-3000,0,0,0,0,0,0,0,upd payment principal_cents: -3000 + 3000,,,,,VALID
PP1508-Attempt to get surcharge lineitem using revolving product,191,getlineitem,2021-12-16T11:15:03-05:00,2021-10-15T,,,CHARGE,,,,,,,,,,,,,,
PP1508-Attempt to get surcharge lineitem using revolving product,192,validation,,,2021-10-15T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1508-Attempt to get surcharge lineitem using revolving product,193,getlineitem,,2021-10-31T,,,FEE_SURCHARGE,,,,,,,,,,,,,,
PP1508-Attempt to get surcharge lineitem using revolving product,194,validation,,,2021-10-31T,,FEE_SURCHARGE,10000,10000,0,0,0,0,0,0,surcharge fee,,,,,VALID
PP2149-Attempt to get surcharge lineitem using installment product,198,getlineitem,2021-12-15T11:15:03-05:00,2021-10-31T,,,FEE_SURCHARGE,,,,,,,,,,,,,,
PP2149-Attempt to get surcharge lineitem using installment product,199,validation,,,2021-10-31T,,FEE_SURCHARGE,10000,10000,0,0,0,0,0,0,surcharge fee,,,,,VALID
PP2149-Attempt to get surcharge lineitem using installment product,200,getlineitem,,2021-10-15T,,,CHARGE,,,,,,,,,,,,,,
PP2149-Attempt to get surcharge lineitem using installment product,201,validation,,,2021-10-15T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2149-Attempt to get surcharge lineitem using installment product,202,getlineitem,30,2021-10-15T,,,LOAN,,,,,,,,,,,,,,
PP2149-Attempt to get surcharge lineitem using installment product,203,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP1509-Attempt to reverse surcharge lineitem using revolving product,207,getlineitem,2021-12-16T11:15:03-05:00,2021-10-15T,,,CHARGE,,,,,,,,,,,,,,
PP1509-Attempt to reverse surcharge lineitem using revolving product,208,validation,,,2021-10-15T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1509-Attempt to reverse surcharge lineitem using revolving product,209,getlineitem,,2021-10-31T,,,FEE_SURCHARGE,,,,,,,,,,,,,,
PP1509-Attempt to reverse surcharge lineitem using revolving product,210,validation,,,2021-10-31T,,FEE_SURCHARGE,10000,10000,0,0,0,0,0,0,surcharge fee,,,,,VALID
PP1509-Attempt to reverse surcharge lineitem using revolving product,211,feereversal,,,,,,,,,,,,,,,,,,,
PP1509-Attempt to reverse surcharge lineitem using revolving product,212,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP1509-Attempt to reverse surcharge lineitem using revolving product,213,validation,,,,,FEE_REVERSAL,-10000,0,0,0,0,0,0,0,upd payment principal_cents: -10000 + 10000,,,,,VALID
PP2150-Attempt to reverse surcharge lineitem using installment product,214,getlineitem,2021-12-15T11:15:03-05:00,2021-10-15T,,,CHARGE,,,,,,,,,,,,,,
PP2150-Attempt to reverse surcharge lineitem using installment product,215,validation,,,2021-10-15T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2150-Attempt to reverse surcharge lineitem using installment product,218,getlineitem,,2021-10-31T,,,FEE_SURCHARGE,,,,,,,,,,,,,,
PP2150-Attempt to reverse surcharge lineitem using installment product,219,validation,,,2021-10-31T,,FEE_SURCHARGE,10000,10000,0,0,0,0,0,0,surcharge fee,,,,,VALID
PP2150-Attempt to reverse surcharge lineitem using installment product,220,feereversal,,,,,,,,,,,,,,,,,,,
PP2150-Attempt to reverse surcharge lineitem using installment product,221,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2150-Attempt to reverse surcharge lineitem using installment product,222,validation,,,,,FEE_REVERSAL,-10000,0,0,0,0,0,0,0,upd payment principal_cents: -10000 + 10000,,,,,VALID
PP2150-Attempt to reverse surcharge lineitem using installment product,216,getlineitem,,2021-10-15T,,,LOAN,,,,,,,,,,,,,,
PP2150-Attempt to reverse surcharge lineitem using installment product,217,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP1510-Attempt to get latefee lineitem using revolving product,223,getlineitem,2021-12-16T11:15:03-05:00,2021-11-15T,,,CHARGE,,,,,,,,,,,,,,
PP1510-Attempt to get latefee lineitem using revolving product,224,validation,,,2021-11-15T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1510-Attempt to get latefee lineitem using revolving product,225,getlineitem,,2021-11-24T,,,LATE_FEE,,,,,,,,,,,,,,
PP1510-Attempt to get latefee lineitem using revolving product,226,validation,2021-12-28T11:15:03-05:00,,2021-11-24T,,LATE_FEE,5800,5800,0,0,0,0,0,0,late fee,,,,,VALID
PP2151-Attempt to get latefee lineitem using installment product,227,getlineitem,2021-12-16T11:15:03-05:00,2021-11-01T,,,CHARGE,,,,,,,,,,,,,,
PP2151-Attempt to get latefee lineitem using installment product,228,validation,,,2021-11-01T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2151-Attempt to get latefee lineitem using installment product,231,getlineitem,,2021-11-12T,,,LATE_FEE,,,,,,,,,,,,,,
PP2151-Attempt to get latefee lineitem using installment product,232,validation,2021-11-20T11:15:03-05:00,,2021-11-12T,,LATE_FEE,5800,5800,0,0,0,0,0,0,late fee,,,,,VALID
PP2151-Attempt to get latefee lineitem using installment product,229,getlineitem,30,2021-11-01T,,,LOAN,,,,,,,,,,,,,,
PP2151-Attempt to get latefee lineitem using installment product,230,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2152-Attempt to get latefee lineitem using charge product,233,getlineitem,2021-12-16T11:15:03-05:00,2021-10-15T,,,CHARGE,,,,,,,,,,,,,,
PP2152-Attempt to get latefee lineitem using charge product,234,validation,,,2021-10-15T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2152-Attempt to get latefee lineitem using charge product,235,getlineitem,2021-12-28T11:15:03-05:00,2021-11-19T,,,LATE_FEE,,,,,,,,,,,,,,
PP2152-Attempt to get latefee lineitem using charge product,236,validation,,,2021-11-19T,,LATE_FEE,5800,5800,0,0,0,0,0,0,late fee,,,,,VALID
PP2153-Attempt to get latefee lineitem using credit product,237,getlineitem,2021-12-16T11:15:03-05:00,2021-11-15T,,,CHARGE,,,,,,,,,,,,,,
PP2153-Attempt to get latefee lineitem using credit product,238,validation,,,2021-11-15T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2153-Attempt to get latefee lineitem using credit product,239,getlineitem,2021-12-28T11:15:03-05:00,2021-11-24T,,,LATE_FEE,,,,,,,,,,,,,,
PP2153-Attempt to get latefee lineitem using credit product,240,validation,,,2021-11-24T,,LATE_FEE,5800,5800,0,0,0,0,0,0,late fee,,,,,VALID
PP1511-Attempt to reverse latefee lineitem using revolving product,241,getlineitem,2021-12-16T11:15:03-05:00,2021-11-15T,,,CHARGE,,,,,,,,,,,,,,
PP1511-Attempt to reverse latefee lineitem using revolving product,242,validation,,,2021-11-15T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1511-Attempt to reverse latefee lineitem using revolving product,243,getlineitem,,2021-11-24T,,,LATE_FEE,,,,,,,,,,,,,,
PP1511-Attempt to reverse latefee lineitem using revolving product,244,validation,2021-12-28T11:15:03-05:00,,2021-11-24T,,LATE_FEE,5800,5800,0,0,0,0,0,0,late fee,,,,,VALID
PP1511-Attempt to reverse latefee lineitem using revolving product,245,feereversal,,,,,,,,,,,,,,,,,,,
PP1511-Attempt to reverse latefee lineitem using revolving product,246,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP1511-Attempt to reverse latefee lineitem using revolving product,247,validation,,,,,FEE_REVERSAL,-5800,0,0,0,0,0,0,0,upd payment principal_cents: -5800 + 5800,,,,,VALID
PP2154-Attempt to reverse latefee lineitem using revolving product,248,getlineitem,2021-12-16T11:15:03-05:00,2021-11-01T,,,CHARGE,,,,,,,,,,,,,,
PP2154-Attempt to reverse latefee lineitem using revolving product,249,validation,,,2021-11-01T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2154-Attempt to reverse latefee lineitem using revolving product,252,getlineitem,,2021-11-12T,,,LATE_FEE,,,,,,,,,,,,,,
PP2154-Attempt to reverse latefee lineitem using revolving product,253,validation,2021-11-20T11:15:03-05:00,,2021-11-12T,,LATE_FEE,5800,5800,0,0,0,0,0,0,late fee,,,,,VALID
PP2154-Attempt to reverse latefee lineitem using revolving product,254,feereversal,,,,,,,,,,,,,,,,,,,
PP2154-Attempt to reverse latefee lineitem using revolving product,255,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2154-Attempt to reverse latefee lineitem using revolving product,256,validation,,,,,FEE_REVERSAL,-5800,0,0,0,0,0,0,0,upd payment principal_cents: -5800 + 5800,,,,,VALID
PP2154-Attempt to reverse latefee lineitem using revolving product,250,getlineitem,,2021-11-01T,,,LOAN,,,,,,,,,,,,,,
PP2154-Attempt to reverse latefee lineitem using revolving product,251,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2155-Attempt to reverse latefee lineitem using revolving product,257,getlineitem,2021-12-16T11:15:03-05:00,2021-10-15T,,,CHARGE,,,,,,,,,,,,,,
PP2155-Attempt to reverse latefee lineitem using revolving product,258,validation,,,2021-10-15T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2155-Attempt to reverse latefee lineitem using revolving product,259,getlineitem,,2021-11-19T,,,LATE_FEE,,,,,,,,,,,,,,
PP2155-Attempt to reverse latefee lineitem using revolving product,260,validation,2021-12-28T11:15:03-05:00,,2021-11-19T,,LATE_FEE,5800,5800,0,0,0,0,0,0,late fee,,,,,VALID
PP2155-Attempt to reverse latefee lineitem using revolving product,261,feereversal,,,,,,,,,,,,,,,,,,,
PP2155-Attempt to reverse latefee lineitem using revolving product,262,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2155-Attempt to reverse latefee lineitem using revolving product,263,validation,,,,,FEE_REVERSAL,-5800,0,0,0,0,0,0,0,upd payment principal_cents: -5800 + 5800,,,,,VALID
PP2156-Attempt to reverse latefee lineitem using revolving product,264,getlineitem,2021-12-16T11:15:03-05:00,2021-11-15T,,,CHARGE,,,,,,,,,,,,,,
PP2156-Attempt to reverse latefee lineitem using revolving product,265,validation,,,2021-11-15T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2156-Attempt to reverse latefee lineitem using revolving product,266,getlineitem,,2021-11-24T,,,LATE_FEE,,,,,,,,,,,,,,
PP2156-Attempt to reverse latefee lineitem using revolving product,267,validation,2021-12-28T11:15:03-05:00,,2021-11-24T,,LATE_FEE,5800,5800,0,0,0,0,0,0,late fee,,,,,VALID
PP2156-Attempt to reverse latefee lineitem using revolving product,268,feereversal,,,,,,,,,,,,,,,,,,,
PP2156-Attempt to reverse latefee lineitem using revolving product,269,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2156-Attempt to reverse latefee lineitem using revolving product,270,validation,,,,,FEE_REVERSAL,-5800,0,0,0,0,0,0,0,upd payment principal_cents: -5800 + 5800,,,,,VALID
PP1512-Attempt to get payment reversal fee lineitem using revolving product,271,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1512-Attempt to get payment reversal fee lineitem using revolving product,272,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1512-Attempt to get payment reversal fee lineitem using revolving product,273,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP1512-Attempt to get payment reversal fee lineitem using revolving product,274,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP1512-Attempt to get payment reversal fee lineitem using revolving product,275,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP1512-Attempt to get payment reversal fee lineitem using revolving product,276,paymentreversal,,,,,,,,,,,,,,,,,,,
PP1512-Attempt to get payment reversal fee lineitem using revolving product,277,getlineitem,30,0,,,PAYMENT_REVERSAL,,,,,,,,,,,,,,
PP1512-Attempt to get payment reversal fee lineitem using revolving product,278,validation,,,,,PAYMENT_REVERSAL,100000,100000,0,0,0,0,0,0,,,,,,
PP1512-Attempt to get payment reversal fee lineitem using revolving product,279,getlineitem,30,0,,,PAYMENT_REVERSAL_FEE,,,,,,,,,,,,,,
PP1512-Attempt to get payment reversal fee lineitem using revolving product,280,validation,,,,,PAYMENT_REVERSAL_FEE,-1800,0,0,0,0,0,0,0,payment reversal fee,,,,,VALID
PP2157-Attempt to get payment reversal fee lineitem using installment product,281,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2157-Attempt to get payment reversal fee lineitem using installment product,282,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2157-Attempt to get payment reversal fee lineitem using installment product,285,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP2157-Attempt to get payment reversal fee lineitem using installment product,286,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP2157-Attempt to get payment reversal fee lineitem using installment product,287,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2157-Attempt to get payment reversal fee lineitem using installment product,288,paymentreversal,,,,,,,,,,,,,,,,,,,
PP2157-Attempt to get payment reversal fee lineitem using installment product,289,getlineitem,30,0,,,PAYMENT_REVERSAL,,,,,,,,,,,,,,
PP2157-Attempt to get payment reversal fee lineitem using installment product,290,validation,,,,,PAYMENT_REVERSAL,100000,100000,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2157-Attempt to get payment reversal fee lineitem using installment product,291,getlineitem,30,0,,,PAYMENT_REVERSAL_FEE,,,,,,,,,,,,,,
PP2157-Attempt to get payment reversal fee lineitem using installment product,292,validation,,,,,PAYMENT_REVERSAL_FEE,-1800,0,0,0,0,0,0,0,payment reversal fee,,,,,VALID
PP2157-Attempt to get payment reversal fee lineitem using installment product,283,getlineitem,,2021-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2157-Attempt to get payment reversal fee lineitem using installment product,284,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2158-Attempt to get payment reversal fee lineitem using charge product,293,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2158-Attempt to get payment reversal fee lineitem using charge product,294,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2158-Attempt to get payment reversal fee lineitem using charge product,295,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP2158-Attempt to get payment reversal fee lineitem using charge product,296,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
