tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,exp_original_amount_cents,exp_balance_cents,exp_principal_cents
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,162,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,0,0
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,163,validation,,,2020-09-11T,,LOAN,100000,100000,100000
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,164,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,165,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,166,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,0,0
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,167,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,168,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,169,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,170,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,171,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,172,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,173,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,174,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,175,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,176,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,177,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,178,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,179,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,180,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,181,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,182,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,183,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,184,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,185,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,186,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,187,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,188,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,189,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,190,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,191,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,192,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,193,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,194,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,195,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,196,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,197,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,198,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,199,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,200,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,201,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,202,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,203,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,204,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,205,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,206,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,207,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,208,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,209,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,210,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,211,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,0,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,212,validation,,,2020-09-11T,,LOAN,100000,100000,100000
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,213,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,214,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,215,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,0,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,216,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,217,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,218,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,219,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,220,validation,2020-09-16T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,221,paymentreversal,,,,,,,,
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,223,validation,2021-02-08T12:16:08-04:00,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,224,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,222,validation,50,,,,PAYMENT_REVERSAL,120000,0,0
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,225,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,226,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,228,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,229,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,230,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,231,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,232,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,233,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,234,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,235,validation,2020-09-16T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,236,paymentreversal,,,,,,,,
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,237,validation,2021-02-08T12:16:08-04:00,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,238,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,239,validation,50,,,,PAYMENT_REVERSAL,120000,0,0
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,240,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,241,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,242,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,243,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,244,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,245,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,246,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,247,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,248,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,249,validation,2020-09-16T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,250,paymentreversal,,,,,,,,
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,251,validation,2021-02-08T12:16:08-04:00,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,252,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,253,validation,50,,,,PAYMENT_REVERSAL,120000,0,0
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,254,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,255,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,256,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,257,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,258,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,259,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,260,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,261,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,262,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,263,validation,2020-09-16T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,264,paymentreversal,,,,,,,,
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,265,validation,2021-02-08T12:16:08-04:00,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,266,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,267,validation,50,,,,PAYMENT_REVERSAL,120000,0,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,268,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,269,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,0,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,270,validation,,,2020-09-11T,,LOAN,100000,100000,100000
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,271,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,272,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,273,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,0,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,274,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,275,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,276,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,277,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,278,validation,2020-09-16T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,279,paymentreversal,,,,,,,,
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,280,validation,2021-02-08T12:16:08-04:00,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,281,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,282,validation,50,,,,PAYMENT_REVERSAL,120000,0,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,283,validation,,,,,PAYMENT_REVERSAL_FEE,1500,0,0
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,284,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,285,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,286,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,287,creditoffset,,2020-09-11T12:16:16-04:00,,50,,,,
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,288,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,289,validation,2020-09-13T12:16:16-04:00,,,,CREDIT_OFFSET,50,50,0
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,290,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,291,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
