tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance
PP1376 - PaymentPouring in charge card with the Cycle_Interval of 14 days,229,getStatementID,,,,,,1,,,,,,
PP1376 - PaymentPouring in charge card with the Cycle_Interval of 14 days,230,validateStatement,,,,,,,charge,0,0,1150,500000,501150
PP1377 - PaymentPouring in charge card with the Cycle_Interval of 14 days,231,payment,,2022-02-10T08:49:48+00:00,,100000,,,,,,,,
PP1377 - PaymentPouring in charge card with the Cycle_Interval of 14 days,232,validateLineItem,,,,100000,PAYMENT,,,,,,,
PP1377 - PaymentPouring in charge card with the Cycle_Interval of 14 days,233,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1377 - PaymentPouring in charge card with the Cycle_Interval of 14 days,234,getStatementID,,,,,,1,,,,,,
PP1377 - PaymentPouring in charge card with the Cycle_Interval of 14 days,235,validateStatement,,,,,,,charge,0,0,460,400575,401035
PP1378 - PaymentPouring in charge card with the Cycle_Interval of 14,236,payment,,2022-02-10T08:49:48+00:00,,100000,,,,,,,,
PP1378 - PaymentPouring in charge card with the Cycle_Interval of 14,237,validateLineItem,,,,100000,PAYMENT,,,,,,,
PP1378 - PaymentPouring in charge card with the Cycle_Interval of 14,238,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1378 - PaymentPouring in charge card with the Cycle_Interval of 14,239,getStatementID,,,,,,1,,,,,,
PP1378 - PaymentPouring in charge card with the Cycle_Interval of 14,240,validateStatement,,,,,,,charge,0,0,490,426575,427065
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,241,payment,,-6,,33500,,,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,242,,,,,33500,PAYMENT,,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,243,rollTimeForward,4,,,,,,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,244,getStatementID,,,,,,1,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,245,validateStatement,,,,,,,installment,0,66,0,86576,86642
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,246,paymentReversal,,,,,,,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,247,rollTimeForward,12,,,,,,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,248,validateLineItem,,,,-13424,PAYMENT_REVERSAL,,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,249,validateLineItem,,,,-76,PAYMENT_REVERSAL_INTEREST,,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,250,validateLineItem,,,,-23500,PAYMENT_REVERSAL_FEE,,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,251,getStatementID,,,,,,2,,,,,,
PP161 - PaymentPouring Reversal in Installment Loan- Payment re-allocation to different Balance buckets based on the Product Config parameters,252,validateStatement,,,,,,,installment,27000,264,0,86576,127340
PP162 - PaymentPouring Reversal in Revolving Product,253,payment,,-6,,14500,,,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,254,validateLineItem,,,,14500,PAYMENT,,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,255,rollTimeForward,4,,,,,,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,256,getStatementID,,,,,,1,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,257,validateStatement,,,,,,,revolving,0,0,54,95557,95611
PP162 - PaymentPouring Reversal in Revolving Product,258,paymentReversal,,,,,,,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,259,rollTimeForward,12,,,,,,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,260,validateLineItem,,,,-4443,PAYMENT_REVERSAL,,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,261,validateLineItem,,,,-57,PAYMENT_REVERSAL_INTEREST,,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,262,validateLineItem,,,,-10000,PAYMENT_REVERSAL_FEE,,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,263,getStatementID,,,,,,2,,,,,,
PP162 - PaymentPouring Reversal in Revolving Product,264,validateStatement,,,,,,,revolving,10000,0,216,95557,110273
