tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,allocation,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance,available_credit_cents,deferred_interest_balance_cents
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,207,validateLineItem,,,,10000,DEBIT_OFFSET,,,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,208,rollTimeForward,3,,,,,,,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,209,getStatementID,,,,,,,1,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,210,validateStatement,,,,,,,,Multi_Adv,20000,22602,22602,17000000,17042602,0,0
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,211,charge,,-4,,50000,,,,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,212,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,213,charge,,-4,,20000,,,,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,214,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,215,rollTimeForward,6,,,,,,,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,216,getStatementID,,,,,,,0,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,217,validateStatement,,,,,,,,installment,20000,0,0,170000,190000,130000,0
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,218,debitOffset,,0,,2000,,PRINCIPAL,,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,219,validateLineItem,,,,2000,DEBIT_OFFSET,,,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,220,rollTimeForward,12,,,,,,,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,221,getStatementID,,,,,,,1,,,,,,,,
PP2639 - Verify the processing in Statements of Debit offset for principal balance bucket in an Installment account,222,validateStatement,,,,,,,,installment,20000,0,0,168000,188000,132000,0
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,223,charge,,-4,,50000,,,,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,224,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,225,charge,,-4,,20000,,,,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,226,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,227,rollTimeForward,6,,,,,,,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,228,getStatementID,,,,,,,0,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,229,validateStatement,,,,,,,,installment,20000,0,0,170000,190000,130000,0
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,230,debitOffset,,0,,1000,,FEE,,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,231,validateLineItem,,,,1000,DEBIT_OFFSET,,,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,232,rollTimeForward,12,,,,,,,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,233,getStatementID,,,,,,,1,,,,,,,,
PP2640 - Verify the processing in Statements of Debit offset for fee balance bucket in an Installment account,234,validateStatement,,,,,,,,installment,19000,0,0,170000,189000,130000,0
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,235,charge,,-4,,50000,,,,,,,,,,,
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,236,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,237,charge,,-4,,20000,,,,,,,,,,,
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,238,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,239,rollTimeForward,6,,,,,,,,,,,,,,
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,240,validateAccountSummary,,,,,,,,,20000,0,0,170000,190000,,0
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,241,creditOffset,,0,,1550,,PRINCIPAL,,,,,,,,,
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,242,validateLineItem,,,,-1550,CREDIT_OFFSET,,,,,,,,,,
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,243,rollTimeForward,12,,,,,,,,,,,,,,
PP2641 - Verify the processing of Credit offset for principal balance bucket in a Revolving account,244,validateAccountSummary,,,,,,,,,20000,0,0,171550,191550,,0
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,245,charge,,-4,,50000,,,,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,246,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,247,charge,,-4,,20000,,,,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,248,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,249,rollTimeForward,6,,,,,,,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,250,getStatementID,,,,,,,0,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,251,validateStatement,,,,,,,,installment,20000,0,0,170000,190000,130000,0
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,252,creditOffset,,0,,1550,,PRINCIPAL,,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,253,validateLineItem,,,,-1550,CREDIT_OFFSET,,,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,254,rollTimeForward,12,,,,,,,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,255,getStatementID,,,,,,,1,,,,,,,,
PP2642 - Verify the processing  in statements of Credit offset for principal balance bucket in a Revolving account,256,validateStatement,,,,,,,,installment,20000,0,0,171550,191550,130000,0
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,257,charge,,-4,,50000,,,,,,,,,,,
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,258,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,259,charge,,-4,,20000,,,,,,,,,,,
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,260,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,261,rollTimeForward,6,,,,,,,,,,,,,,
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,262,validateAccountSummary,,,,,,,,,20000,0,0,170000,190000,,0
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,263,creditOffset,,0,,1550,,FEE,,,,,,,,,
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,264,validateLineItem,,,,-1550,CREDIT_OFFSET_FEE,,,,,,,,,,
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,265,rollTimeForward,12,,,,,,,,,,,,,,
PP2643 - Verify the processing in accounts summary of Credit offset for fee balance bucket in a Revolving account,266,validateAccountSummary,,,,,,,,,21550 ,0,0,170000,191550,,0
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,267,charge,,-4,,50000,,,,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,268,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,269,charge,,-4,,20000,,,,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,270,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,271,rollTimeForward,6,,,,,,,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,272,getStatementID,,,,,,,0,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,273,validateStatement,,,,,,,,installment,20000,0,0,170000,190000,130000,0
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,274,creditOffset,,0,,1550,,FEE,,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,275,validateLineItem,,,,-1550,CREDIT_OFFSET_FEE,,,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,276,rollTimeForward,12,,,,,,,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,277,getStatementID,,,,,,,1,,,,,,,,
PP2644 - Verify the processing  in statements of Credit offset for fee balance bucket in a Revolving account,278,validateStatement,,,,,,,,installment,21550 ,0,0,170000,191550,130000,0
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,279,charge,,-13,,50000,,,,,,,,,,,
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,280,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,281,charge,,-12,,20000,,,,,,,,,,,
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,282,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,283,rollTimeForward,-5,,,,,,,,,,,,,,
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,284,validateAccountSummary,,,,,,,,,20000,1984,1984,2070000,2091984,,0
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,285,creditOffset,,-4,,1550,,INTEREST,,,,,,,,,
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,286,validateLineItem,,,,-1550,CREDIT_OFFSET_INTEREST,,,,,,,,,,
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,287,rollTimeForward,1,,,,,,,,,,,,,,
PP2645 - Verify the processing in accounts summary of credit offset for Interest balance bucket in a Revolving account,288,validateAccountSummary,,,,,,,,,20000,5518 ,5518 ,2070000,2095518 ,,0
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,289,charge,,-13,,50000,,,,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,290,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,291,charge,,-12,,20000,,,,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,292,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,293,rollTimeForward,-5,,,,,,,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,294,getStatementID,,,,,,,0,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,295,validateStatement,,,,,,,,revolving,20000,1984,1984,2070000,2091984,2930000,0
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,296,creditOffset,,-4,,1550,,INTEREST,,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,297,validateLineItem,,,,-1550,CREDIT_OFFSET_INTEREST,,,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,298,rollTimeForward,3,,,,,,,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,299,getStatementID,,,,,,,1,,,,,,,,
PP2646 - Verify the processing of credit offset in statements for Interest balance bucket in a Revolving account,300,validateStatement,,,,,,,,revolving,20000,5518 ,5518 ,2070000,2095518 ,2930000,0
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,301,charge,,-4,,500000,,,,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,302,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,303,charge,,-4,,2500000,,,,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,304,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,305,rollTimeForward,6,,,,,,,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,306,getStatementID,,,,,,,0,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,307,validateStatement,,,,,,,,Multi_Adv,20000,0,0,4000000,4020000,1000000 ,0
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,308,creditOffset,,0,,100000,,PRINCIPAL,,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,309,validateLineItem,,,,-100000,CREDIT_OFFSET,,,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,310,rollTimeForward,12,,,,,,,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,311,getStatementID,,,,,,,1,,,,,,,,
PP2647 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,312,validateStatement,,,,,,,,Multi_Adv,20000,0,0,4100000,4120000,1000000 ,0
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,313,charge,,-4,,500000,,,,,,,,,,,
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,314,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,315,charge,,-4,,2500000,,,,,,,,,,,
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,316,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,317,rollTimeForward,6,,,,,,,,,,,,,,
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,318,validateAccountSummary,,,,,,,,Multi_Adv,20000,0,0,4000000,4020000,1000000 ,0
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,319,creditOffset,,0,,100000,,PRINCIPAL,,,,,,,,,
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,320,validateLineItem,,,,-100000,CREDIT_OFFSET,,,,,,,,,,
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,321,rollTimeForward,12,,,,,,,,,,,,,,
PP2648 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,322,validateAccountSummary,,,,,,,,Multi_Adv,20000,0,0,4100000,4120000,1000000 ,0
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,323,charge,,-4,,500000,,,,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,324,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,325,charge,,-4,,2500000,,,,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,326,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,327,rollTimeForward,6,,,,,,,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,328,getStatementID,,,,,,,0,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,329,validateStatement,,,,,,,,Multi_Adv,20000,0,0,4000000,4020000,1000000 ,0
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,330,creditOffset,,0,,10000,,FEE,,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,331,validateLineItem,,,,-10000,CREDIT_OFFSET_FEE,,,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,332,rollTimeForward,12,,,,,,,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,333,getStatementID,,,,,,,1,,,,,,,,
PP2649 - Verify the processing in statements of Credit offset for fee balance bucket in a Multi advance account,334,validateStatement,,,,,,,,Multi_Adv,30000,0,0,4000000,4030000 ,1000000 ,0
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,335,charge,,-4,,500000,,,,,,,,,,,
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,336,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,337,charge,,-4,,2500000,,,,,,,,,,,
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,338,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,339,rollTimeForward,6,,,,,,,,,,,,,,
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,340,validateAccountSummary,,,,,,,,Multi_Adv,20000,0,0,4000000,4020000,1000000 ,0
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,341,creditOffset,,0,,10000,,FEE,,,,,,,,,
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,342,validateLineItem,,,,-10000,CREDIT_OFFSET_FEE,,,,,,,,,,
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,343,rollTimeForward,12,,,,,,,,,,,,,,
PP2650 - Verify the processing of Credit offset for fee balance bucket in a Multi advance account,344,validateAccountSummary,,,,,,,,Multi_Adv,30000,0,0,4000000,4030000 ,1000000 ,0
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,345,charge,,-4,,500000,,,,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,346,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,347,charge,,-4,,2500000,,,,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,348,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,349,rollTimeForward,6,,,,,,,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,350,getStatementID,,,,,,,0,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,351,validateStatement,,,,,,,,Multi_Adv,20000,0,0,4000000,4020000,1000000 ,0
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,352,creditOffset,,0,,10000,,INTEREST,,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,353,validateLineItem,,,,-10000,CREDIT_OFFSET_INTEREST,,,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,354,rollTimeForward,12,,,,,,,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,355,getStatementID,,,,,,,1,,,,,,,,
PP2651 - Verify the processing in statements of Credit offset for interest balance bucket in a Multi advance account,356,validateStatement,,,,,,,,Multi_Adv,20000,0,10000,4000000,4030000 ,1000000 ,0
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,357,charge,,-4,,500000,,,,,,,,,,,
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,358,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,359,charge,,-4,,2500000,,,,,,,,,,,
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,360,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,361,rollTimeForward,6,,,,,,,,,,,,,,
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,362,validateAccountSummary,,,,,,,,Multi_Adv,20000,0,0,4000000,4020000,1000000 ,0
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,363,creditOffset,,0,,10000,,INTEREST,,,,,,,,,
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,364,validateLineItem,,,,-10000,CREDIT_OFFSET_INTEREST,,,,,,,,,,
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,365,rollTimeForward,12,,,,,,,,,,,,,,
PP2652 - Verify the processing of Credit offset for interest balance bucket in a Multi advance account,366,validateAccountSummary,,,,,,,,Multi_Adv,20000,0,0,4000000,4030000 ,1000000 ,0
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,367,charge,,-4,,50000,,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,368,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,369,charge,,-4,,20000,,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,370,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,371,payment,,-3,,100000,,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,372,validateAccountSummary,,,,,,,,installment,20000,0,0,70000,90000 ,,0
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,373,paymentReversal,,,,,,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,374,rollTimeForward,12,,,,,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,375,validateLineItem,,,,-80000,PAYMENT_REVERSAL,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,376,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,,,
PP2653 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,377,validateAccountSummary,,,,,,,,installment,20000,0,0,170000,190000,,0
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,378,charge,,-4,,50000,,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,379,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,380,charge,,-4,,20000,,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,381,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,382,payment,,-3,,100000,,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,383,rollTimeForward,6,,,,,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,384,getStatementID,,,,,,,0,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,385,validateStatement,,,,,,,,installment,0,0,0,90000,90000 ,210000,0
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,386,paymentReversal,,,,,,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,387,rollTimeForward,12,,,,,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,388,validateLineItem,,,,-80000,PAYMENT_REVERSAL,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,389,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,390,getStatementID,,,,,,,1,,,,,,,,
PP2654 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,391,validateStatement,,,,,,,,installment,20000,0,0,90000 ,190000,210000,0
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,392,charge,,-4,,50000,,,,,,,,,,,
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,393,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,394,charge,,-4,,20000,,,,,,,,,,,
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,395,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,396,payment,,-3,,20000,,,,,,,,,,,
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,397,validateAccountSummary,,,,,,,,installment,0,0,0,150000 ,170000,,0
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,398,paymentReversal,,,,,,,,,,,,,,,
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,399,rollTimeForward,12,,,,,,,,,,,,,,
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,400,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,,,
PP2655 - Verify the processing of Credit offset for fee balance bucket in an Installment account,401,validateAccountSummary,,,,,,,,installment,20000,0,0,170000,190000,,0
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,402,charge,,-4,,50000,,,,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,403,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,404,charge,,-4,,20000,,,,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,405,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,406,payment,,-3,,20000,,,,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,407,rollTimeForward,6,,,,,,,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,408,getStatementID,,,,,,,0,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,409,validateStatement,,,,,,,,installment,0,0,0,170000,170000 ,130000 ,0
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,410,paymentReversal,,,,,,,,,,,,,,,
