account_tc_id,tc_name,index,cycle_number,exp_cycle_exclusive_end,exp_min_pay_due_at
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - first cycle billing cycle type details,145,1,2021-12-14T,2021-12-16T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - second cycle billing cycle type details,146,2,2022-01-04T,2022-01-06T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - third cycle billing cycle type details,147,3,2022-01-25T,2022-01-27T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - fourth cycle billing cycle type details,148,4,2022-02-15T,2022-02-17T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - fifth cycle billing cycle type details,149,5,2022-03-08T,2022-03-10T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - sixth cycle billing cycle type details,150,6,2022-03-29T,2022-03-31T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - seventh cycle billing cycle type details,151,7,2022-04-19T,2022-04-21T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - eighth cycle billing cycle type details,152,8,2022-05-10T,2022-05-12T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - ninth cycle billing cycle type details,153,9,2022-05-31T,2022-06-02T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - tenth cycle billing cycle type details,154,10,2022-06-21T,2022-06-23T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - eleventh cycle billing cycle type details,155,11,2022-07-12T,2022-07-14T
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,DD_19 - twelfth cycle billing cycle type details,156,12,2022-08-02T,2022-08-04T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - first cycle billing cycle type details,157,1,2021-12-24T,2021-12-29T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - second cycle billing cycle type details,158,2,2022-01-14T,2022-01-19T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - third cycle billing cycle type details,159,3,2022-02-04T,2022-02-09T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - fourth cycle billing cycle type details,160,4,2022-02-25T,2022-03-02T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - fifth cycle billing cycle type details,161,5,2022-03-18T,2022-03-23T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - sixth cycle billing cycle type details,162,6,2022-04-08T,2022-04-13T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - seventh cycle billing cycle type details,163,7,2022-04-29T,2022-05-04T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - eighth cycle billing cycle type details,164,8,2022-05-20T,2022-05-25T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - ninth cycle billing cycle type details,165,9,2022-06-10T,2022-06-15T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - tenth cycle billing cycle type details,166,10,2022-07-01T,2022-07-06T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - eleventh cycle billing cycle type details,167,11,2022-07-22T,2022-07-27T
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,DD_20 - twelfth cycle billing cycle type details,168,12,2022-08-12T,2022-08-17T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - first cycle billing cycle type details,169,1,2021-12-20T,2021-12-22T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - second cycle billing cycle type details,170,2,2022-01-10T,2022-01-12T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - third cycle billing cycle type details,171,3,2022-01-31T,2022-02-02T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - fourth cycle billing cycle type details,172,4,2022-02-21T,2022-02-23T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - fifth cycle billing cycle type details,173,5,2022-03-14T,2022-03-16T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - sixth cycle billing cycle type details,174,6,2022-04-04T,2022-04-06T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - seventh cycle billing cycle type details,175,7,2022-04-25T,2022-04-27T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - eighth cycle billing cycle type details,176,8,2022-05-16T,2022-05-18T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - ninth cycle billing cycle type details,177,9,2022-06-06T,2022-06-08T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - tenth cycle billing cycle type details,178,10,2022-06-27T,2022-06-29T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - eleventh cycle billing cycle type details,179,11,2022-07-18T,2022-07-20T
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,DD_21 - twelfth cycle billing cycle type details,180,12,2022-08-08T,2022-08-10T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - first cycle billing cycle type details,181,1,2021-11-29T,2021-12-01T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - second cycle billing cycle type details,182,2,2021-12-29T,2021-12-31T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - third cycle billing cycle type details,183,3,2022-01-28T,2022-01-30T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - fourth cycle billing cycle type details,184,4,2022-02-27T,2022-03-01T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - fifth cycle billing cycle type details,185,5,2022-03-29T,2022-03-31T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - sixth cycle billing cycle type details,186,6,2022-04-28T,2022-04-30T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - seventh cycle billing cycle type details,187,7,2022-05-28T,2022-05-30T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - eighth cycle billing cycle type details,188,8,2022-06-27T,2022-06-29T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - ninth cycle billing cycle type details,189,9,2022-07-27T,2022-07-29T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - tenth cycle billing cycle type details,190,10,2022-08-26T,2022-08-28T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - eleventh cycle billing cycle type details,191,11,2022-09-25T,2022-09-27T
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,DD_23 - twelfth cycle billing cycle type details,192,12,2022-10-25T,2022-10-27T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - first cycle billing cycle type details,193,1,2021-11-29T,2021-12-06T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - second cycle billing cycle type details,194,2,2021-12-29T,2022-01-05T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - third cycle billing cycle type details,195,3,2022-01-28T,2022-02-04T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - fourth cycle billing cycle type details,196,4,2022-02-27T,2022-03-06T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - fifth cycle billing cycle type details,197,5,2022-03-29T,2022-04-05T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - sixth cycle billing cycle type details,198,6,2022-04-28T,2022-05-05T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - seventh cycle billing cycle type details,199,7,2022-05-28T,2022-06-04T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - eighth cycle billing cycle type details,200,8,2022-06-27T,2022-07-04T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - ninth cycle billing cycle type details,201,9,2022-07-27T,2022-08-03T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - tenth cycle billing cycle type details,202,10,2022-08-26T,2022-09-02T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - eleventh cycle billing cycle type details,203,11,2022-09-25T,2022-10-02T
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,DD_24 - twelfth cycle billing cycle type details,204,12,2022-10-25T,2022-11-01T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - first cycle billing cycle type details,205,1,2021-11-29T,2021-12-22T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - second cycle billing cycle type details,206,2,2021-12-29T,2022-01-21T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - third cycle billing cycle type details,207,3,2022-01-28T,2022-02-20T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - fourth cycle billing cycle type details,208,4,2022-02-27T,2022-03-22T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - fifth cycle billing cycle type details,209,5,2022-03-29T,2022-04-21T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - sixth cycle billing cycle type details,210,6,2022-04-28T,2022-05-21T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - seventh cycle billing cycle type details,211,7,2022-05-28T,2022-06-20T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - eighth cycle billing cycle type details,212,8,2022-06-27T,2022-07-20T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - ninth cycle billing cycle type details,213,9,2022-07-27T,2022-08-19T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - tenth cycle billing cycle type details,214,10,2022-08-26T,2022-09-18T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - eleventh cycle billing cycle type details,215,11,2022-09-25T,2022-10-18T
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,DD_25 - twelfth cycle billing cycle type details,216,12,2022-10-25T,2022-11-17T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - first cycle billing cycle type details,217,1,2021-12-14T,2021-12-16T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - second cycle billing cycle type details,218,2,2022-01-13T,2022-01-15T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - third cycle billing cycle type details,219,3,2022-02-12T,2022-02-14T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - fourth cycle billing cycle type details,220,4,2022-03-14T,2022-03-16T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - fifth cycle billing cycle type details,221,5,2022-04-13T,2022-04-15T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - sixth cycle billing cycle type details,222,6,2022-05-13T,2022-05-15T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - seventh cycle billing cycle type details,223,7,2022-06-12T,2022-06-14T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - eighth cycle billing cycle type details,224,8,2022-07-12T,2022-07-14T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - ninth cycle billing cycle type details,225,9,2022-08-11T,2022-08-13T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - tenth cycle billing cycle type details,226,10,2022-09-10T,2022-09-12T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - eleventh cycle billing cycle type details,227,11,2022-10-10T,2022-10-12T
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,DD_26 - twelfth cycle billing cycle type details,228,12,2022-11-09T,2022-11-11T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - first cycle billing cycle type details,229,1,2022-01-13T,2022-01-18T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - second cycle billing cycle type details,230,2,2022-02-12T,2022-02-17T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - third cycle billing cycle type details,231,3,2022-03-14T,2022-03-19T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - fourth cycle billing cycle type details,232,4,2022-04-13T,2022-04-18T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - fifth cycle billing cycle type details,233,5,2022-05-13T,2022-05-18T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - sixth cycle billing cycle type details,234,6,2022-06-12T,2022-06-17T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - seventh cycle billing cycle type details,235,7,2022-07-12T,2022-07-17T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - eighth cycle billing cycle type details,236,8,2022-08-11T,2022-08-16T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - ninth cycle billing cycle type details,237,9,2022-09-10T,2022-09-15T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - tenth cycle billing cycle type details,238,10,2022-10-10T,2022-10-15T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - eleventh cycle billing cycle type details,239,11,2022-11-09T,2022-11-14T
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,DD_27 - twelfth cycle billing cycle type details,240,12,2022-12-09T,2022-12-14T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - first cycle billing cycle type details,241,1,2021-12-29T,2021-12-31T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - second cycle billing cycle type details,242,2,2022-01-28T,2022-01-30T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - third cycle billing cycle type details,243,3,2022-02-27T,2022-03-01T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - fourth cycle billing cycle type details,244,4,2022-03-29T,2022-03-31T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - fifth cycle billing cycle type details,245,5,2022-04-28T,2022-04-30T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - sixth cycle billing cycle type details,246,6,2022-05-28T,2022-05-30T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - seventh cycle billing cycle type details,247,7,2022-06-27T,2022-06-29T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - eighth cycle billing cycle type details,248,8,2022-07-27T,2022-07-29T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - ninth cycle billing cycle type details,249,9,2022-08-26T,2022-08-28T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - tenth cycle billing cycle type details,250,10,2022-09-25T,2022-09-27T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - eleventh cycle billing cycle type details,251,11,2022-10-25T,2022-10-27T
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,DD_28 - twelfth cycle billing cycle type details,252,12,2022-11-24T,2022-11-26T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - first cycle billing cycle type details,253,1,2021-11-29T,2021-12-01T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - second cycle billing cycle type details,254,2,2021-12-29T,2021-12-31T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - third cycle billing cycle type details,255,3,2022-01-29T,2022-01-31T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - fourth cycle billing cycle type details,256,4,2022-02-28T,2022-03-02T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - fifth cycle billing cycle type details,257,5,2022-03-29T,2022-03-31T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - sixth cycle billing cycle type details,258,6,2022-04-29T,2022-05-01T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - seventh cycle billing cycle type details,259,7,2022-05-29T,2022-05-31T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - eighth cycle billing cycle type details,260,8,2022-06-29T,2022-07-01T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - ninth cycle billing cycle type details,261,9,2022-07-29T,2022-07-31T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - tenth cycle billing cycle type details,262,10,2022-08-29T,2022-08-31T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - eleventh cycle billing cycle type details,263,11,2022-09-29T,2022-10-01T
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,DD_30 - twelfth cycle billing cycle type details,264,12,2022-10-29T,2022-10-31T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - first cycle billing cycle type details,265,1,2021-11-29T,2021-12-06T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - second cycle billing cycle type details,266,2,2021-12-29T,2022-01-05T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - third cycle billing cycle type details,267,3,2022-01-29T,2022-02-05T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - fourth cycle billing cycle type details,268,4,2022-02-28T,2022-03-07T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - fifth cycle billing cycle type details,269,5,2022-03-29T,2022-04-05T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - sixth cycle billing cycle type details,270,6,2022-04-29T,2022-05-06T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - seventh cycle billing cycle type details,271,7,2022-05-29T,2022-06-05T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - eighth cycle billing cycle type details,272,8,2022-06-29T,2022-07-06T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - ninth cycle billing cycle type details,273,9,2022-07-29T,2022-08-05T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - tenth cycle billing cycle type details,274,10,2022-08-29T,2022-09-05T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - eleventh cycle billing cycle type details,275,11,2022-09-29T,2022-10-06T
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,DD_31 - twelfth cycle billing cycle type details,276,12,2022-10-29T,2022-11-05T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - first cycle billing cycle type details,277,1,2021-11-29T,2021-12-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - second cycle billing cycle type details,278,2,2021-12-29T,2022-01-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - third cycle billing cycle type details,279,3,2022-01-29T,2022-02-21T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - fourth cycle billing cycle type details,280,4,2022-02-28T,2022-03-21T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - fifth cycle billing cycle type details,281,5,2022-03-29T,2022-04-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - sixth cycle billing cycle type details,282,6,2022-04-29T,2022-05-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - seventh cycle billing cycle type details,283,7,2022-05-29T,2022-06-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - eighth cycle billing cycle type details,284,8,2022-06-29T,2022-07-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - ninth cycle billing cycle type details,285,9,2022-07-29T,2022-08-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - tenth cycle billing cycle type details,286,10,2022-08-29T,2022-09-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - eleventh cycle billing cycle type details,287,11,2022-09-29T,2022-10-22T
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,DD_32 - twelfth cycle billing cycle type details,288,12,2022-10-29T,2022-11-22T
